i,s,spdup_libkpn_opt_naive,spdup_libkpn_omp,spdup_libkpn_naive_omp,omp_mean,omp_median,omp_std,opt_mean,opt_median,opt_std,naive_mean,naive_median,naive_std
76,262144,0.4739732403902379,0.45175677984992396,0.953127183884849,545.575237,545.4550125,0.34595985207237145,247.81385714285724,246.413,8.693690235831813,521.9195714285715,519.888,5.590782149346422
86,128,0.8798411122144986,1.1947544078481611,1.3579206418770857,0.7524142,0.741575,0.023259578503869574,1.0302857142857147,0.886,0.2904145026222544,0.9904285714285712,1.007,0.08748142660016667
86,256,1.1126095751854348,1.9705563059593205,1.7711121222652562,0.8715563000000002,0.8373269999999999,0.133862605425654,1.9221428571428572,1.65,0.9280324617167212,1.5161428571428566,1.483,0.10868053336883951
86,512,1.208020050125313,1.6926856606054044,1.4012065945675443,1.7202675000000003,1.7085275,0.19502454285165774,5.14257142857143,2.892,4.028050469313085,2.3817142857142852,2.394,0.10288950383785748
86,1024,1.4120427967156008,2.236845917184672,1.5841204830247044,2.5240919,2.5370545,0.029085857939902912,8.43542857142857,5.675,6.181593588361069,3.8447142857142866,4.019,0.44415823944474947
86,2048,1.5095003518648837,2.2068330340991196,1.4619625834288343,4.8748028,4.8599055,0.027134092736110713,11.952571428571428,10.725,4.05792791438357,7.586571428571429,7.105,1.546501508782539
86,4096,0.5435609603991268,0.915476115326883,1.6842197693054808,9.567606399999999,9.520729,0.12763807174655578,11.288285714285713,8.716,4.9476761169596974,16.888000000000005,16.035,2.571549143998577
86,8192,0.9609770060108768,1.0975487895416416,1.1421176393155228,18.3542405,18.353626,0.034481155073993665,18.73,20.144,5.280227066613689,23.546,20.962,3.4948417823033866
86,16384,0.7389962724332865,0.818372226858872,1.107410493647316,36.5982575,36.5799315,0.09093517479717701,29.635999999999985,29.936,5.088206265473232,40.148857142857146,40.509,0.6319556287163034
86,32768,0.640274468445243,0.6281544683124619,0.9810706177895682,78.2854089,78.2848845,0.034883554213737976,50.676857142857195,49.175,7.631107725946238,78.40271428571425,76.803,3.179266575538831
86,65536,0.5567866128525003,0.5489219599421392,0.9858749245602919,154.8193943,154.810713,0.10614707316724131,88.23528571428574,84.979,7.934020896325422,152.64057142857143,152.624,1.2894093124373476
86,131072,0.5512490097173056,0.5362143180379009,0.9727261338988801,307.5306502,307.5449395,0.16376962172045048,167.39057142857138,164.91,9.424511379909184,298.86299999999994,299.157,0.6908198028786375
86,262144,0.5387691960671103,0.5224249487140832,0.9696637308288294,612.6709201000001,612.6525939999999,0.20985287332383978,323.57828571428564,320.065,13.1270357389545,596.0852857142855,594.067,3.19096651372466
96,128,1.4545454545454546,1.588423707660217,1.092041299016399,0.9288611000000001,0.916632,0.025878554572588655,1.3757142857142857,1.456,0.26882746945454145,1.005285714285714,1.001,0.08260952326054104
