i,s,seq_t,spdup_omp,spdup_grps,spdup_libkpn,GFLOPS_omp,GFLOPS_grps,GFLOPS_libkpn
64,32768,1254.522897,10.74881,11.450454,60.83707215110319,0.0,0.0,0.0
128,32,2.321165,17.540623,20.026121,97.33905172618061,0.0,0.0,0.0
128,64,4.643199,14.722974,16.760815,77.27287444137832,0.0,0.0,0.0
128,128,9.287372,11.979631,12.069869,73.816360537728,0.0,0.0,0.0
128,256,18.575896,10.80762,11.131957,83.76446552026346,0.0,0.0,0.0
128,512,37.151282,10.568774,10.916493,54.82520540385837,0.0,0.0,0.0
128,1024,74.32779,10.350823,10.645709,48.121436141179494,0.0,0.0,0.0
128,2048,148.77599,10.788619,11.285971,41.45328378143095,0.0,0.0,0.0
128,4096,299.70945,10.741204,11.265241,39.991820967495904,0.0,0.0,0.0
128,8192,603.304753,10.655474,11.243593,38.654604577044765,0.0,0.0,0.0
128,16384,1217.915965,10.439443,11.024987,37.83250622988042,0.0,0.0,0.0
128,32768,2459.127334,10.267765,10.902751,37.06835567493499,0.0,0.0,0.0
256,32,4.64241,19.235424,26.646718,79.03509886747041,0.0,0.0,0.0
256,64,9.284508,17.268073,17.396929,80.52517878886708,0.0,0.0,0.0
256,128,18.569851,12.578376,14.432833,68.38593732748134,0.0,0.0,0.0
256,256,37.153332,11.668924,12.327197,58.44814492905598,0.0,0.0,0.0
256,512,74.331362,11.072614,11.41838,48.67828647258385,0.0,0.0,0.0
256,1024,148.646982,10.425843,10.975671,41.615285984525855,0.0,0.0,0.0
256,2048,297.524385,10.5443,11.114001,38.610247022273484,0.0,0.0,0.0
256,4096,599.268004,10.438278,11.012063,37.487033931482856,0.0,0.0,0.0
256,8192,1206.814871,10.31644,10.866613,36.57989947545705,0.0,0.0,0.0
256,16384,2424.617799,10.185558,10.871106,36.06345160987026,0.0,0.0,0.0
256,32768,4895.329085,10.039919,10.711995,35.53954398416779,0.0,0.0,0.0
512,32,9.285217,49.193327,38.127261,140.90031498456094,0.0,0.0,0.0
512,64,18.569013,24.605035,29.779752,81.94673567194981,0.0,0.0,0.0
512,128,37.140585,22.556564,16.974361,68.76439883755197,0.0,0.0,0.0
512,256,74.299064,17.116115,17.945911,55.402716782542505,0.0,0.0,0.0
512,512,148.60829,13.478684,17.471075,45.034163302733646,0.0,0.0,0.0
512,1024,297.297697,14.164074,15.089737,40.37296662947241,0.0,0.0,0.0
512,2048,595.000422,13.563016,15.042433,38.28429217483816,0.0,0.0,0.0
512,4096,1199.305519,13.342975,14.528172,37.06493407706898,0.0,0.0,0.0
512,8192,2414.709475,13.164378,14.703252,36.09076822792522,0.0,0.0,0.0
512,16384,4838.70832,13.037234,14.488461,35.84188145484248,0.0,0.0,0.0
512,32768,9768.301273,12.942916,14.216309,35.23775120976452,0.0,0.0,0.0
